locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
potatocornerusa.com,https://www.potatocornerusa.com/parks-at-arlington,Parks at arlington mall,3811 S. Cooper St. ,Arlington,TX,76015,<MISSING>,817-467-0200,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/arrowhead-towne-center,Arrowhead Towne Center,7700 W. Arrowhead Towne Center ,Glendale,AZ,85308,<MISSING>,623-979-7777,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/chandler-fashion-center,Chandler Fashion Center,3111 W Chandler Blvd ,Chandler,AZ,85226,<MISSING>,480-812-8488,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/ggp-coronado-center,GGP Coronado Center Mall,6600 Menaul ,NE Albuquerque,NM,87110,<MISSING>,505-881-2700,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/westfield-plaza-bonita,Westfield Plaza Bonita Mall,3030 Plaza Bonita Road #2075 National ,City,CA,91950,<MISSING>,619-267-1078,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/westfield-valley-fair,Westfield Valley Fair Mall,2855 Stevens Creek Blvd Santa ,Clara,CA,95050,<MISSING>,408-248-4450,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/westfield-galleria-roseville,Westfield Galleria at Roseville Mall,1151 Galleria Blvd. ,Roseville,CA,95678,<MISSING>,916-787-2000,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/ontario-mills,Ontario Mills,1 Mills Cir ,Ontario,CA,91764,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/moreno-valley,Moreno Valley Mall,22500 Town Cir Moreno ,Valley,CA,92553,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/americana-at-brand,The Americana at Brand Mall, 620 Americana Way ,Glendale,CA,91210,<MISSING>,818-500-8180‎,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/queens-center,Queens Center,90-15 Queens Blvd ,Elmhurst,NY,11373,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/fashion-district,Fashion District,Fashion District Philadelpha 901 Market St ,Philadelpha,PA,19107,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/valley-plaza,Valley Plaza Mall,2701 Ming Ave ,Bakersfield,CA,<MISSING>,<MISSING>,661-832-2436,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/north-point,North point mall,1000 North Point ,CircleAlpharetta,GA,30022,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/grapevine-mills,Grapevine mills, 3000 Grapevine Mills Pkwy ,Grapevine,TX,76051,<MISSING>,<MISSING>,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/westfield-santa-anita,Westfield Santa Anita Mall,400 S. Baldwin Ave. Suite 231 ,Arcadia,CA,91007,<MISSING>,626-294-0720,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/simon-cottonwood,Simon Cottonwood Mall,10000 Coors Blvd Bypass NW ,Albuquerque,NM,87114,<MISSING>,505-508-5649 ‎,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
potatocornerusa.com,https://www.potatocornerusa.com/rosedale-center,Rosedale Center,10 Rosedale Shopping Center ,Roseville,MN,55113,<MISSING>,651-633-0872,<MISSING>,<MISSING>,<MISSING>,US,<MISSING>
